t,nArrived,meanWaitingTime,meanTimeLoss,meanTravelTime
58318,1,78.0,115.29,264.0
58319,1,26.0,83.79,234.0
58320,1,65.0,120.82,245.0
58324,1,62.0,83.85,199.0
58327,2,74.0,109.255,251.0
58329,1,31.0,46.75,98.0
58330,1,36.0,50.71,132.0
58331,3,18.333333333333332,30.423333333333336,58.666666666666664
58333,2,42.0,64.00999999999999,175.0
58335,3,12.333333333333334,43.73666666666667,141.66666666666666
58336,2,62.0,96.5,266.0
58337,2,141.0,183.5,330.5
58338,2,45.5,74.185,188.0
58339,1,91.0,115.2,288.0
58341,1,25.0,44.34,216.0
58342,3,71.0,128.50666666666666,290.6666666666667
58344,1,80.0,141.28,309.0
58346,1,59.0,109.18,286.0
58348,1,0.0,51.15,214.0
58349,1,58.0,94.12,249.0
58350,2,54.5,79.29499999999999,194.5
58351,1,48.0,75.48,222.0
58353,1,106.0,141.37,297.0
58354,1,130.0,160.85,288.0
58355,1,60.0,102.37,188.0
58356,2,88.5,127.17999999999999,290.5
58357,1,128.0,195.66,376.0
58358,1,236.0,300.72,506.0
58359,1,15.0,39.84,85.0
58360,2,67.0,93.805,240.0
58361,1,33.0,68.88,192.0
58362,2,66.5,95.03999999999999,197.5
58363,2,36.5,58.089999999999996,188.5
58364,1,89.0,116.23,305.0
58365,2,80.0,106.275,261.0
58366,3,67.33333333333333,109.29333333333334,262.0
58367,1,0.0,3.44,29.0
58368,2,49.5,100.44,281.5
58369,3,75.0,116.05333333333333,271.3333333333333
58370,7,53.714285714285715,86.88285714285715,250.14285714285714
58371,1,105.0,192.06,321.0
58372,5,50.0,94.176,245.0
58373,2,89.0,140.29,296.5
58374,2,39.5,78.63499999999999,221.0
58375,3,83.33333333333333,122.93333333333334,275.3333333333333
58376,1,16.0,47.81,154.0
58377,1,0.0,16.38,124.0
58380,2,69.5,110.5,255.0
58381,2,30.5,66.58,167.5
58383,1,52.0,72.63,254.0
58387,1,43.0,86.45,265.0
58388,1,140.0,217.76,410.0
58389,2,49.5,85.42500000000001,250.5
58390,2,89.5,137.44,242.5
58391,3,47.666666666666664,101.79666666666667,266.0
58393,1,31.0,83.88,301.0
58394,2,90.0,130.12,277.0
58397,1,93.0,139.86,298.0
58398,1,104.0,172.1,345.0
58399,2,64.0,117.53999999999999,280.5
58401,1,103.0,160.87,364.0
58402,1,85.0,123.9,344.0
58403,1,288.0,355.64,492.0
58404,2,71.0,140.39,315.0
58407,1,300.0,376.74,595.0
58410,2,237.5,305.925,462.0
58411,1,90.0,125.57,248.0
58412,2,99.0,140.5,296.0
58414,1,110.0,185.32,336.0
58415,1,113.0,188.62,392.0
58417,1,56.0,71.14,89.0
58418,1,91.0,124.9,273.0
58419,2,40.5,84.285,264.5
58420,1,40.0,55.98,134.0
58421,1,36.0,52.79,145.0
58422,1,0.0,17.93,129.0
58423,1,35.0,51.89,140.0
58425,4,44.25,68.775,202.25
58426,3,129.0,163.24,266.3333333333333
58428,2,28.0,49.849999999999994,168.5
58429,3,130.33333333333334,163.20333333333335,315.0
58430,1,39.0,58.18,212.0
58431,1,88.0,134.43,284.0
58433,2,57.5,83.7,252.5
58434,1,66.0,102.38,252.0
58436,1,110.0,146.76,386.0
58437,2,65.0,115.45,285.5
58438,1,38.0,56.7,144.0
58439,1,41.0,71.1,156.0
58440,1,105.0,138.9,298.0
58441,4,74.25,111.94749999999999,232.5
58442,1,100.0,157.37,294.0
58443,1,89.0,129.97,258.0
58445,1,295.0,384.26,581.0
58446,1,103.0,155.76,364.0
58448,2,100.5,133.29500000000002,306.0
58449,2,37.5,70.75,171.5
58450,2,88.0,118.79,290.5
58451,2,43.5,77.705,287.5
58452,6,78.66666666666667,121.925,279.0
